instruction,reference,generated,cosine_similarity
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Cannot say in your particular case but location and type of pain are helpful in determining both the cause and the process. The process has inflammatory components. Therefore, something that works on inflammation would seem to be warranted. A trial of steroids just to see what happens might be one option. Over the counter naproxen is certainly less damaging over time than steroids. Hope I have answered your query. Let me know if I can assist you further. ","
Hi, I am Chat Doctor.  I have gone through your query and here is my advice. The problem could be due to infection in tooth or periodontal disease. You should visit a dentist for clinical examination of teeth. He may take X-ray to rule out any dental infection. If there is tooth infection then he will give you antibiotics and if necessary he may extract the tooth. For gum infection he may clean the gums and prescribe antibiotics and mouthwash. Take care.  Thanks.  Please note that this information is not meant to replace the evaluation and opinion of a doctor. Hope I have answered your query. Let me know",0.7508816719055176
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for posting your quarry. As you have mentioned that you had back pained for several days, I am assuming that you have been taking painkillers for the same. Painkillers if taken in large quantity cause the symptoms you have just describe die: pain in center radiating to sides in abdomen specially under breasts. This seems like severe case of gastritis / ulcers to me which needs to b treated with antacids. You must have cold milk and milk ice creams like vanilla to sooth your cramps and pain. Do NOT take any more painkillers. Also avoid spicy and oily food. I would strongly recommend you to visit your physician for prescription for medicines.  Wish you a speedy recovery. Regards","
Hello and welcome to Chat Doctor. Thanks for your query. You seem to have been diagnosed with allergic rhinitis. Allergic rhinitis is an inflammation of the nasal passages which can be caused by exposure to allergens such as pollen, dust mites or pet dander. It usually causes sneezing, runny nose, itchy nose, eyes, ears and throat. Treatment includes: 1. Oral antihistamines like cetirizine or levocetirizine 2. Nasal corticosteroids like fluticasone 3. Decongestants like pseudoephedrine ",0.5849027037620544
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for using Chat Doctor. Your throat symptoms are could be due to throat infection or acid reflux. You can do salt warm water gargling 3 times a day. Avoid taking heavy meals in nighttimes. Avoid immediately going to bed after taking food. Consult a ENT specialist for complete examination of your throat. Check your TSH level to know your thyroid level now. Hope I answered your question. Feel free to ask me if you have any further queries. Wish you good health. Take care. Regards","
Hello! Welcome and thank you for asking on Chat Doctor! Regarding your concern, I would explain that your symptoms could be related to a possible allergic reaction or a viral infection.  For this reason, I would recommend consulting with your GP for a careful physical exam and some tests: -a chest X-ray study- a blood count for anemia and inflammatory markers-thyroid hormone levels for thyroid gland dysfunction-blood electrolytes for possible imbalance. An allergy test can also be useful. Hope you will find this answer helpful! Kind regards,  Chat Doctor. ",0.7441461086273193
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Vaginal spotting may not have any direct relation to the surgeries you have undergone. The pain can in fact be related as both are in and near the pelvis, so it is normal for some time to get the pains as you described. You may please attend the ER if there are associated symptoms like fever, vomiting, distension of abdomen, pain increasing with walking or changing the position in bed.","
Hi, Welcome to Chat Doctor. I have read your query in detail and understand your concern.  Based on the information provided, I suspect that it is a case of of allergic dermatitis. The rash is due to an allergic reaction to some substance like food or drugs or even pollen or dust.  You need to get yourself examined by a dermatologist for proper diagnosis and treatment. Till then, you can take antihistamines like levocetirizine once daily and apply calamine lotion topically. Hope this helps. Regards. ",0.5773105621337891
额叶胶质瘤术的辅助治疗有些什么？,护理干预,"
术前心理干预；术后常规护理；围手术期护理",0.5833826065063477
"If you are a doctor, please answer the medical questions based on the patient's description.",Its called Petrus excavated which is a congenital deformity of the frontal chest in which the chest appears like its sucked in .the corrective surgeries are of two types : 1- traditional method: involving a midline incision with removal of deformed cartilage and insertion of piece of metal to allow for normal cartilage to grow and then removed 6-12 months later 2-two incision method : at both sides of chest with insertion of thoracoscpoe and placement of curved metal to correct the deformity and left it for 2 years I hope this helps,"
Hi, I have gone through your query and understood your concern. In my opinion it seems to be a case of anxiety disorder. Anxiety is a normal human experience. It is not a mental illness but a normal emotional response to stress or danger. When you are worried about something, your brain and body get ready to deal with a threat or challenge. You may feel anxious when you face a difficult situation or are under pressure. However, if the feeling does not go away, or gets in the way of daily activities, it can affect your quality of life. The symptoms of anxiety include: 1. Nervousness, restlessness",0.4481242299079895
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, You have got articular pain in both lower limbs may be due to nerve root compression in lower lumbar spine. This may be due to disc herniation in lumbosacral spine. Diagnosis can be confirmed by doing MRI of the lumbosacral spine with screening of whole spine. Please get it done from radiology center nearby you.Meanwhile, start tab regain x 75 mg one at bedtime for pain relief. Avoid forward bending and weight lifting. You can ask your doctor for detailed clinical Examination and to refer you for MRI and ask for temporary medications to relieve your pain. Hope I have answered your query. Let me know if I can assist you further.","
Hello, Thanks for writing to Chat Doctor, I am Chat Doctor. It is very difficult to diagnose the condition without seeing your child, but from what you have described I would say that he might be having a viral infection with cold and cough. You can give him paracetamol or ibuprofen for fever and pain relief. Also, you can give him steam inhalation which will help in clearing his airways and also relieve his symptoms. If the symptoms persist or worsen then you should consult a pediatrician. Hope this answers your query. If you have any further questions you can ask me directly and I will be happy to",0.6568496823310852
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have reviewed your query, your liver enzymes are high though there is no sign of liver damage seen under ultrasound, but you need to be careful as the medications you mentioned are metabolized by the liver and your daily vomit could be associated with early onset of damage to your gastro-hepatic system, hence will advise you to consult your physician or hepatologists with all your reports to review all the medications and advice accordingly. Thanks","
Hello, Welcome to Chat Doctor, As you are having history of chronic bronchitis with recurrent cough and expectoration, which has led to your lung infection and need for antibiotic treatment. As you are not having any symptoms now, I would suggest you to continue with antibiotics like Tab Augmenting 625 mg twice daily for five days. Along with this you can take tablet Cetirizine once daily to reduce the cough. If you have no relief in cough then you can go for chest X-ray to rule out any other infections. Thank you.",0.7350964546203613
"If you are a doctor, please answer the medical questions based on the patient's description.",Your daughter is probably having a functional constipation which is there no serious organic cause of it and this is diagnosed with a careful history and a complete physical exam however the laxatives should be used regularly and dose is adjusted according to the consistency of the stool and the frequency of bowel habits dietary changes are helpful including fibers and increasing water intake you can feed her in the morning with appropriate amount of water then if she's toilet trained try to make her go to bathroom and try to pass a motion if it's done regularly its very helpful I hope this answers your question,"
Hello, Thanks for choosing Chat Doctor for posting your query. I have gone through your question in detail and I can understand what you are going through. It is possible that she has got a urinary tract infection which is causing these symptoms. You should get her urine tested for routine microscopy and culture sensitivity. This will help in identifying the organism and its antibiotic sensitivity pattern. Hope I am able to answer your concerns. If you have any further query, I would be glad to help you. In future if you wish to contact me directly, you can use the below-mentioned link:bit.ly/ Chat Doctor. ",0.651253879070282
双重性中风的影像学检查有些什么？,CT检查,"
CT检查；MRI检查",0.803679347038269
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thank you for your contact to Chat Doctor. I understand your concern. If I am your doctor I suggest you that you will lose your nail. But pressure from blood in the close compartment can cause gangrene. I advise you should visit nearby doctor and get your self Chat Doctor.  Usually gangrene won't appears in all cases. I will be happy to answer your further concerned can contact me. Chat Doctor. Infectious disease specialist. Thank you.","
Hello and welcome to Chat Doctor.  I have gone through your query and can understand your concern about your husband. Since he is a diabetic, it is very important for him to maintain good control of his blood sugar levels. This will not only help in controlling the diabetes, but also prevent any complications due to diabetes like kidney damage, eye problems, nerve damage etc. He should take his regular medicines as advised by his doctor. The treatment for diabetes has to be life long. You can consult a diabetologist for better advice. Hope this helps. Regards. ",0.7937966585159302
和老公同房后阴道深处有很多小红疙瘩痒疼怎么回，无,考虑是有阴道炎的可能，建议你可以口服氧氟沙星、替硝唑胶囊，外用高猛酸钾或洁尔阴溶液清洗局部，然后再用甲硝唑泡滕片塞阴治疗即可，用药其间注意个人卫生，禁止同房，并定期复查。,"
你好，考虑是外阴炎引起的症状，可以做分泌物的检查确定炎症的性质，然后对症治疗的，注意局部的卫生，不吃辛辣刺激性的食物很重要。",0.8220119476318359
"If you are a doctor, please answer the medical questions based on the patient's description.","Helots biopsy of gland in known as tubercular lymphadenitis i.e. enlargement of lymph gland was mycobacterium tubercular bacilli. As you mentioned that she took complete anti-tubercular treatment. But at present need not worry, however reduced weight is cause of concern. Another reason is loss of appetite. So get in PCR tuberculin test for tuberculosis confirmation. And also get in blood culture and Chat Doctor. Since she is also having loss of weight and loss of appetite, so consultation with a specialist is important. Good luck.","
Hi, dairy have gone through your question. I can understand your concern. You may have some infection in tooth or gum.  You should go for oral examination and if required x-ray of teeth. Then you should go for proper treatment.  Take antibiotics like amoxicillin.  Apply mouthwash like chlorhexidine locally. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health.",0.6479569673538208
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello have gone through your question and understand your concern. Presence of bruise is suggestive of internal bleeding underneath the skin or subcutaneous tissue. It may or may not be related to your previous cancer history, but caution is the word. Fix an appointment with your treating doctor at the earliest as various diagnostic tests have to be conducted to find out the cause and initiate the treatment. Good luck. Hope your concern is answered. Thank you.","
Hi, I have gone through your question and understand your concern. In my opinion it is difficult to say without seeing the images of the MRI scan. But from your symptoms and MRI report, I suspect it is disc bulge at L4-L5 level. Disc bulge can cause back pain as well as leg pain (sciatica). It may also cause numbness in legs and difficulty in walking. You should take painkillers and muscle relaxants. Also, apply hot water pad over back. Avoid lifting heavy weights. Take proper rest. Physiotherapy like ultrasound and TENS will be helpful. Hope this helps. Please write",0.6873804926872253
"If you are a doctor, please answer the medical questions based on the patient's description.","HiT hanks for posting on ChatDoctorSorry to reply to your query late. Hope you are ok by now. Will still like to reply your query if it may still help you. Any of the 2 diagnosis from both Doctor could be correct. However, unless I examine you I may not know with certainty what could be the problem. Being treated for H pylori may not stop your symptoms immediately. Healing is progressive and this is why you had to go on an anti-reflux/anti-secretory for some weeks again after your antibiotherapy. If I were your treating Doctor, I will, would have treated as follows:-Antibiotherapy for 14 days-Anti-secretory like omeprazole for 21 to 28 days-Antacid like maalox-Counseling on home measure to prevent gastritis/Verdi symptoms do not improve, I send you to a Astrologist for examination and a microscopy or endoscopy. If you are still struggling with your symptoms, I will advise you see a Astrologist for evaluation and better management. Hope this will help Best regards","
Hi, I have gone through your question. I can understand your concern. You should go for chest x-ray and ECG to rule out lung infection or heart problem.  You should also go for blood investigation like complete blood count, sugar level and creatinine to rule out other causes.  You should take antibiotic as per report.  If there is no improvement in three days then you should consult physician and start appropriate treatment. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health. Don't forget to click, thank you.",0.8325669169425964
"If you are a doctor, please answer the medical questions based on the patient's description.","I recommend taking Fluconazole (Diflucan) to treat the yeast infection. Additionally, you can use Nystatin Topical Product, Clotrimazole Topical, Miconazole Topical Product, Terconazole Topical, Betamethasone-Clotrimazole Topical, Butoconazole Topical, or Zinc Oxide Topical to relieve the symptoms. If you are also experiencing pain during intercourse, then you can take Pentosan Polysulphate Sodium (Elmiron). Lastly, I recommend taking a hormonal birth control pill such as Ortho Cyclen or Portia to prevent future yeast infections.","
Hi, Thanks for writing in. Your father is having a severe form of diabetes which needs to be treated with insulin. The blood sugar levels are very high and he should be given short acting insulin like regular insulins 2 times a day or long acting insulins like glargine once a day. He will need to take oral hypoglycemic agents along with the insulin therapy. Since his hemoglobin A1C level is very high, he needs to take it down to normal range within two months. This will help in reducing complications from diabetes. Please do not worry about giving him insulin as it is safe and",0.6161071062088013
G69-PD缺乏，咳嗽可以吃什么药，全部症状:感冒咳嗽，鼻塞。其它都正常发病时间及原因:可能开空调着冷，今天开始治疗情况:没有想要得到的帮助:可以吃些什么药，列如冲剂,G6PD缺乏症，又称蚕豆病，是一种先天性葡萄糖六磷酸脱氢酶缺乏，由于戊糖代谢途径受限，用药不注意或是食用蚕豆等，可以发生溶血，严重者危及生命。本病患者禁用磺胺嘧啶、SMZ、SMZ—TMP、磺胺吡啶、磺胺乙酰、呋喃旦啶、呋喃唑酮（痢特灵）、呋喃西林、蚕豆（胡豆）、珍珠粉、美蓝、奈（不接触臭丸）等。小柴胡颗粒、藿香正气丸、抗病毒口服液等可以应用。现宝宝感冒了，请在儿科医生指导下应用抗病毒口服液治疗。,"
你好，根据你的描述，这种情况考虑一般你这个是支气管炎的症状，建议去正规医院做个血常规和胸片检查，明确诊断后对症治疗，平时注意休息，多喝水，祝早日康复！",0.521713137626648
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Your seizure 2 years ago was probably a temporary abnormal electrical activity of the brain. To prevent it from affecting the body further you were started on anti-seizure medicine.  Now since you did not have any further episode, recent studies have shown that medications can be reduced in a stepwise manner.  This is possible only if MRI and EEG are normal, which is the same for your case. So I concur with your doctor and would advise on tapering the dose based on his advice. Hope I have answered your query. Let me know if I can assist you further. Take care Chat Doctor. ","
Hi, Thanks for asking. Based on your query, my opinion is as follows.1. Your symptoms are related to chronic lung disease.2. Inhaling in cold air can trigger bronchospasm and coughing.3. Avoidance of cold air and using warm mask while going out will help.4. If symptoms are persistent, then you need regular inhalers.5. Chat Doctor. 6. Get evaluated by pulmonologist if needed. Hope it helps. Any further queries feel free to ask. Wishing you good health. Regards - ",0.7555942535400391
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello friend, Your question is very important -= why am I having so many problems with my body? This cannot be answered in the way you searched. You are over weight. You get bruised easily. Furthermore, you feel pain more than reasonable. Feels dizzy. You explain everything as because of anemia. There you are wrong. Then naturally you say: I am taking Iron tabs regularly as if iron will take care of your anemia. You are lost to find reasons for your sickness. Conventional medicine cannot answer your question. I am a Homeopath and in Homeopathy we have answer for your questions, but it cannot be given through this forum. Your case has to be studied in detail. Your parents' history, their disease tendencies, your intrauterine life, your past history, treatment history etc. become important. While taking your case in detail we will concentrate on your genetic constitutional dispositions to find out your remedy. This can be done by a very detailed case taking and analysis by an expert Homeopathic physician. Therefore, my advice to you as a young friend is to tell your parents to take you to an expert Homeopath who can help you to make you free from several physical ailments you are suffering, and you will suffer in future if not taken a corrective treatment at the earliest. Your letter does not at all give any details about your mental makeup which is very important for a Homeopath to reach at the right remedy. With best wishes for speedy cure through Homeopathy,","
Hi, Thanks for writing in. It is important to know your age and sex before we discuss about your symptoms. Since you have mentioned that you are 2 year old female, it is important to know if you have any other symptoms like fever or pain in the stomach. You have been having these symptoms for how long? Is there any history of abdominal surgery or injury? If you are not having any other symptoms then it is possible that you have a urinary tract infection. Please get a urine test done including a culture and sensitivity report. This will help us understand if there is an infection. You should also be examined by a doctor who",0.765025794506073
有关于商环包皮环切手术后的几个问题，医生做过，无,你好，包茎手术比较简单，一般情况下当地男科医院都可以开展，做好卫生及抗炎护理，避免感染。两周后拆线即可。,"
您好！根据您的描述，您是做了包皮环切术的患者。目前出现了水肿的现象，建议您到医院进行检查，确定原因后对症治疗。平时注意局部卫生，勤换内裤，保持干燥，避免辛辣刺激性食物。祝您健康！",0.7150155305862427
