instruction,reference,generated,cosine_similarity
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, If your MRI was done thrice, and it was normal on all three occasions, you might have to get some other tests performed. There are neurologists who check for nerve conduction defects. Sometimes these are useful in such a clinical scenario. We should ideally not think of your two problems (poor erections and bladder muscle weakness) as separate entities and should check if one solution will help both problems. There are other investigations which can also be performed. These include a penile Doppler to test vascularity of your phallus. You can also be tried with medications like alpha-blockers to see if urine flow improves, and if required also add medication to improve bladder muscle tone which unfortunately is not very often successful. Hope I have been able to help you.","
Hi, Thanks for writing in. You are having symptoms of anxiety and depression which is common after any stressful event in life. Since you had to undergo surgery and have been diagnosed with cancer, it is normal to feel anxious and depressed. The best way to deal with such situations is to talk to your family members and friends. They can help you deal with the stress and also support you during this difficult time. Please consult your doctor if you are feeling extremely stressed or anxious. Medicines like antidepressants will be prescribed to you by the doctor. You should not worry about taking medicines as they are safe and effective. Do not take too much",0.7097975611686707
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for writing in to us. It is important to review your condition in detail with imaging findings. A 1 mm and 2 mm mass in lymph nodes is less likely to be a cancer. These are too small to be told apart and can also be seen in many benign conditions. This requires clinical examination by a surgeon and correlation with your scan report. Since you had a total thyroidectomy in 2010, it will help to know the scan findings in the post-operative thyroid bed and know if there is any suspicious malignant process going on. In the absence of a recent mass or lymph nodes of considerable size in the area it is difficult to call it a recurrent cancer. You should consult a head and neck oncologist and discuss your report and get examined. If required further testing will be asked like a FNAC or nuclear scan. Please do not worry.","
Hi, I have gone through your question and understand your concern. I would like to tell you that it is not necessary that there should be any infection in the teeth which will cause such pain. The reason for this pain can be due to the gum problem. It can be due to gingivitis or periodontal disease. The treatment of this condition is by scaling and root planing which will help to remove all the deposits from the root surface and also the gums will get healed. If there is still pain after scaling then I suggest you to visit an oral surgeon who will advise you to extract the tooth if there is no possibility of",0.6861147880554199
"If you are a doctor, please answer the medical questions based on the patient's description.","Degree understand your concerns went through your details. Everyone has their own way of enjoying sex and being in fantasy mood. Your husband thinks in a novel way. In fact, urination after sexual intercourse is pleasurable. This has nothing to do with prostrate related problems. Enjoy your husbands fantasy. If you require more of my help in this aspect, please use this URL. http://goo.gl/aYW2pR. Make sure that you include every minute details possible. Hope this answers your query. Available for further clarifications. Good luck. Take care.","
Hello, Welcome to Chat Doctor . I have gone through your query and understand your concern. From your history, it seems like you might be suffering from either allergic rhinitis or hay fever. You can take an antihistamine tablet for relief. Also, you need to get tested for allergy. This will help in finding out what exactly is causing this problem and will help in long-term treatment. Hope this helps. Regards. ",0.5733333826065063
什么是子宫内膜单纯性增生，无,你好，子宫内膜如果比正常的厚的话可能会导致月经量过多或经期过长，可以导致贫血，目前治疗以手术刮宫为主，药物治疗没有效果。,"
子宫内膜单纯性增生是一种常见的妇科疾病。其主要表现为月经不规律、经期延长、月经量增多等。这种病的病因目前尚不清楚，可能与激素水平异常有关。建议您到医院做详细检查，明确诊断后对症治疗。平时要注意休息，避免过度劳累。饮食上要以清淡为主，忌辛辣刺激性食物。",0.8073044419288635
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome Thanks for consulting Chat Doctor, I have gone through your query, as you have mentioned that you have decayed broken tooth which has sharp edge causing injury on tongue for this you should visit dentist and go for Extraction of tooth or Grinding of tooth, Do warm saline gargle two - three times a day You can apply Anesthetic gel McCoppin on tongue twice daily for one week it will help you Hope this will help you.  Wishing you good health Regards ","
Hello, Welcome to Chat Doctor, I have gone through your query and understand your concern. As per your history, it seems that you had a fall with head injury, which has led to this swelling. In my opinion, there is no need for surgery, as you can treat this by applying ice packs over the area of swelling. You should take rest and avoid any physical activity till the swelling subsides. If the swelling does not subside in 2 days then you should consult an orthopedic surgeon. Hope this will help you. Thank you.",0.7400185465812683
严重梗阻性肾衰的手术治疗有些什么？,急诊手术；间断腹透,"
肾脏移植；腹腔镜肾移植术",0.6119428277015686
巨细胞病毒抗体IGM的几点问题有？，我的小孩现在才5个多月.在1个多月时血清检查有巨细胞感染.同时患有肺炎.住院治疗了10多天.我该怎么办？,一。你的孩子仍然有巨细胞病毒。治疗6周。最好是住院后。3治疗后。病毒很可能复发。因此。为了预防。4。它可能会感到不适和发烧。年轻人或儿童感染可引起发热、疲劳和传染病等疾病。如果一个人接受含有病毒和发烧的输血。肝脏可能会发炎。有时在2至4周后。,"
巨细胞病毒（CMV）是引起人类先天性感染最常见的病原体之一。新生儿期CMV感染可引起严重的听力损伤、视力损害、智力低下和脑瘫等后遗症。孕妇初次感染CMV后，可通过胎盘将病毒传给胎儿，导致先天性CMV感染。如果孕妇已经感染过CMV，其后代发生先天性CMV感染的概率会降低。由于先天性CMV感染的临床表现缺乏特异性，诊断困难，且无有效的治疗方法，因此预防是减少先天性CMV感染的关键。
　　1．避免接触感染源：尽量",0.6226271390914917
"If you are a doctor, please answer the medical questions based on the patient's description.","Degree understand your concerns went through your descriptions. I suggest you not to worry much. You have not mentioned your age and occupation in the description. From the description, I cannot see schizotypal personality disorder in you. But I do see anxiety rather health anxiety. To find out your personality type, you need to take personality tests which are administered by clinical psychologists. Don't go with tests available on the internet which are normally misguiding. Don't read unnecessary books. Even for a trained psychiatrist, it takes some time to understand your correct problem, in that case, how an untrained person can? Be confident, if you have a problem, Always say - SO WHAT?-. You need cognitive behavior therapy. I can help you with that. Please post a direct query to me with every minute details possible. I shall prescribe tailor made cognitive behavior therapy techniques to you which should clear your problems within weeks. Hope this answers your query. Available for further clarifications. Good luck.","
Hello, I have studied your case. Due to compression of this nerve root there is pain in your back and leg. For these symptoms analgesic and neurotrophic medication can be started. Till time, avoid lifting weights, Sit with support to back. You can consult physiotherapist for help. Physiotherapy like ultrasound and inferential therapy will give quick relief. I will advise checking your it B12 and it D3 level. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you",0.7208631038665771
胃寒，气往上走，一天不吃饭不觉的饿，浑身无力，夏季,考虑是慢性胃炎或消化性溃疡，一般可以做钡餐或胃镜等检查确诊。胃炎或消化性溃疡病因和饮食不当，药物化学因素刺激，精神集中，幽门螺旋杆菌感染等有关。建议在当地医生指导下服用阿莫西林，克拉霉素，丽珠得乐和奥美拉唑等治疗。,"
你好，考虑为感冒的症状，表现为鼻塞、咳嗽、咽痛、头疼、发热、四肢酸痛等，可以服用感冒药进行治疗，如感康、快克、白加黑等，同时用板蓝根冲剂进行治疗效果较好，多喝开水，注意保暖很重要。",0.6382964253425598
月经一直没来怎么办，本人从2017年4月9号月经结束后，到今天7月17号月经一直没来,"你好，根据你的情况月经推迟不来没有怀孕考虑是内分泌失调引起的。
   考虑是内分泌失调引起的，建议你最好是打黄体酮针治疗，效果挺好的，忌口，不要吃辛辣食品，没事多运动增强体质。 
","
您好，引起月经推迟的原因很多的，有精神因素、环境改变、内分泌失调等，建议您到医院做B超检查一下，明确诊断后在对症治疗。平时注意休息，避免劳累，保持心情舒畅，饮食宜清淡，忌辛辣刺激性食物。",0.8984282612800598
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, It seems your kid is having viral diarrhea. Once it starts it will take 5-7 days to completely get better.  Unless the kids having low urine output or very dull or excessively sleepy or blood in motion or green bilious vomiting. You need not worry.  There is no need to use antibiotics unless there is blood in the motion. Antibiotics might worsen if unnecessarily used causing antibiotic-associated diarrhea. I suggest you use zinc supplements (Z&D Chat Doctor. ","
Hi, Thank you for asking question on Chat Doctor. I went through your query and understand your concern.  According to me there is no relation between your back pain and pregnancy. Back pain in women during pregnancy is common due to increased weight and hormonal changes. You should not worry about it. Just be relaxed and calm. Avoid heavy physical activity. Use of support belt may help you. If pain is severe than you can take analgesic like acetaminophen under doctors guidance. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to",0.6447891592979431
荨麻疹可以吃香菜么,荨麻疹不能吃香菜，饮食上还应注意以下几点，忌吃辛辣的鱼和海鲜这样的食物，会使荨麻疹加重。像鲜虾，螃蟹，鱿鱼，鱿鱼贝类，或竹笋，糯米，巧克力，咖啡，香料，糖等。多吃碱性食物，如：葡萄，绿茶，海带，西红柿，芝麻，黄瓜，胡萝卜，香蕉，苹果，橘子，萝卜，绿豆，意大利仁等。不要吃油炸脂肪的食物：如各种油炸，油炸，烟熏腌制肉制品，动物内脏，奶油蛋糕，巧克力等。荨麻疹通常被称为风疹。由于皮肤和粘膜小血管扩张和渗透性增加，这是局部水肿反应。它通常在2到24小时内消退，但反复出现新的皮疹。疾病的过程延迟了几天到几个月。临床上比较常见。荨麻疹的病因非常复杂，约有3/4的患者找不到病因，尤其是慢性荨麻疹。常见原因是：食品和食品添加剂；吸入；感染；药物；物理因素，如机械刺激，冷热，阳光等；昆虫叮咬；精神因素和内分泌变化；遗传因素。基本损害为皮肤出现风团。常先有皮肤瘙痒，随即出现风团，呈鲜红色或苍白色、皮肤色，少数患者有水肿性红斑。风团的大小和形态不一，发作时间不定。风团逐渐蔓延，融合成片，由于真皮乳头水肿，可见表皮毛囊口向下凹陷。风团持续数分钟至数小时，少数可延长至数天后消退，不留痕迹。皮疹反复成批发生，以傍晚发作者多见。风团常泛发，亦可局限。有时合并血管性水肿，偶尔风团表面形成大疱。治疗：1。消除原因，并尝试找出每个发作原因并避免它。如果是感染引起的，应积极治疗感染病灶。药物引起的应该停止过敏药物；食物过敏，发现过敏性食物后，不要吃这种食物。2.避免诱发因素，如感冒荨麻疹应注意注意保暖，乙酰胆碱碱性荨麻疹减少运动，出汗和情绪波动，接触荨麻疹减少接触机会。多注意饮食，要经常定期生活，参加适当的体育锻炼，及时检查，不能掉以轻心。,"
荨麻疹是一种常见的过敏性疾病，主要表现为皮肤出现红色或肤色的风团，伴有剧烈瘙痒。荨麻疹的发病原因很多，包括食物、药物、环境因素等。对于荨麻疹患者来说，饮食上需要注意避免刺激性食物和易引起过敏的食物。

香菜属于辛辣刺激性的食物，容易引起皮肤过敏反应，因此荨麻疹患者应尽量避免食用香菜。如果患者有对香菜过敏的情况，更应该严格忌口。此外，荨麻疹患者还应避免食用其他可能引起过敏的食物，如海鲜、坚果、鸡蛋、牛奶等。

",0.9378859996795654
退变性脊柱侧凸疼痛的发病部位是什么？,胸腰段；腰部,"
腰椎；胸腰段；腰椎棘突；胸腰段脊柱",0.8413419723510742
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello welcome to Chat Doctor , Based on your children history and treatment received most likely reason for his cough seems to be allergic (reactive airway disease), chances of which are more if there is family history of allergic also. If your child responds immediately to nebulization, chances of allergic cough are very much. Inhalation therapy are best recommended treatment for such type of cough, also you need to check your immunization, apart from routine vaccines he needs yearly flu vaccination. As these are prescription Chat Doctor. ","
Hi, Welcome to Chat Doctor .com I am Chat Doctor. Michael. I have gone through your query with diligence and would like you to know that as per my clinical experience of over 17 years, the most likely cause for the pain in your right side is the stones in the gall bladder or liver. The stones can be detected by an ultrasonography of abdomen. If there are no stones then it may be due to any other cause like gastritis or peptic ulcer disease. Thanks and regards.  Chat Doctor. M. D. Internal Medicine.  Consultant Physician.  Kaminish Hospital.  Bhub",0.7274454832077026
紧张型头痛的筛查有些什么？,汉密尔顿抑郁量表,"
简易精神状态检查；简易智力状态检查；汉密尔顿抑郁量表",0.7669581174850464
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello... Hyperkalemia -- high potassium in your blood -- may occur if your kidneys do not work properly Kidney disease is the most common cause of hyperkalemia.  Excess potassium in the diet can also contribute to increased levels in your blood, especially if there is an issue with kidney function. Salt substitutes typically contain high amounts of potassium. Foods such as melons, orange juice, and bananas are rich in potassium too. Over and above Chat Doctor. . For better evolution kindly get done renal function tests and cardiac check up with regular monitoring on potassium level","
Hello, I understand your concern. I am Chat Doctor, infectious diseases specialist, answering your query. In my opinion you should not worry much about this. You have already done the blood test which is normal. So no need to worry about it. But as you have already mentioned that you had taken an antibiotic for 3 days, I would suggest you to get the urine culture and sensitivity test done. This will tell us whether there is any infection or not. Till then, I would suggest you to take plenty of water and rest. If you have any symptoms like fever, vomiting, nausea etc., than you should visit the nearest emergency",0.6736157536506653
"If you are a doctor, please answer the medical questions based on the patient's description.","Though top I is very specific for cardiac disease yet if coronary angiogram is normal, it was not a heart attack some other condition associated with increase in levels of troponin are-primary pulmonary hypertension, pulmonary embolism, and acute exacerbations of chronic obstructive pulmonary disease (COPD), right ventricular strain with increased wall tension and ischemia. These condition can cause chest pain and increased troops.don't worry if Anglo is normal it's not cardiac","
Hello and welcome to Chat Doctor. Thank you for your query.  As I understand from your query, you have been suffering from fever for last 10 days. You also have cough and chest pain.  These symptoms are more likely to be due to pneumonia.  Pneumonia is an infection of lungs which can cause fever, cough and chest pain.  It needs to be treated with antibiotics.  If you haven't taken any medicines, then I would advise you to take antibiotics like amoxicillin or doxycycline and anti-inflammatory medicine like ibuprofen.  Please consult a pulmonologist for further",0.6638811230659485
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi welcome to Chat Doctor..... Your mother having asthma, pulmonary fibrosis and emphysema like conditions ... So having both obstructive and restrictive lung disease. ... So survival chances very less .... Bronchodilator and steroid like treatment needed for these ..... Oxygen therapy also needed. .... Pulmonary rehabilitation will be useful ... Lung transplantation if feasible is ultimate treatment for COPD but here its utility seems less .... Keep exposure to smoking, dust, pollen etc. very less .... Consult pulmonologist for this. Take care ... Regular clinical follow up needed .","
Hello, I understand your concern. I am Chat Doctor, infectious diseases specialist, answering your query. In my opinion you should not take any antibiotic without consulting your doctor. Antibiotic is very good medicine, but it should be taken under supervision of doctor. It is better to consult your doctor and take his advice before taking any antibiotic. Please do not worry about your health. If you have any more queries I am happy to help you. Wishing you good health.Thanks. ChatDoctorInfectious diseases specialist. ",0.7654338479042053
"If you are a doctor, please answer the medical questions based on the patient's description.","Dear Sir, Shaking that your noticed probably is due to high fever also called as chills & rigors. However, a child can have febrile seizures, try to keep her temperature down to normal limit. You may give here paracetamol for high fever under your doctors' guidance. Also, you can do cold sponging. In case you notice apart from shaking, teeth hindering, tongue bite, frothing, unrolling of eyes, rush her to ER, that is a seizure. Consult your doctor for appropriate treatment for the cause of fever. Wish her good health","
Hi, I have gone through your question and understand your concern. In my opinion there is no relation between these symptoms and your son having diabetes. This may be related to his recent surgery. However, you should consult a physician for this problem. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take care.  Chat Doctor.  S. M. Bhandarkar. MD - Medicine.  Professor of Medicine.  Medical College, Ahmedabad.  India. ",0.7219685316085815
重度痔病的并发症是什么？,肛门剧烈疼痛；肛门坠胀感；里急后重感；尿潴留,"
肛门狭窄；肛裂；肛瘘；大便失禁；肛门湿疹；肛周脓肿；肛周瘙痒；便秘；血栓性外痔",0.6719546914100647
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello Rohan;welcome to Chat Doctor Psoriasis is an autoimmune disease and there is limited treatment available which you can get prescribed by a Dermatologist and your condition should improve. As for the big swelling from which yellow color discharge is probably pus coming out, and it may be some infected abscess or a boil for which you should take some antibiotic. Please consult a doctor near your residence or visit a hospital and the doctor will prescribe antibiotic after examination.Don't worry it could be an infection and not a cancer. Take care. Thanks","
Hi and welcome to Chat Doctor.  Thanks for your query.  I am sorry to hear about your problem. This sounds like a very unusual situation and it is difficult to give a proper advice without more details. However, if you have a foreign body in your throat, you should try to remove it with your fingers. If you can't do that, you should go to hospital emergency department where they will be able to help you. In case of bleeding, this is not an emergency and you should try to stop the bleeding by applying pressure to the area where the bleeding comes from. Hope this helps. Best regards, ",0.7320269346237183
急性消化系统症状的推荐药有些什么？,碱式水杨酸铋；复方二甲基硅油咀嚼片；铝碳酸镁片,"
奥美拉唑；吗丁啉；奥美拉唑肠溶片；胃复安；硫糖铝；奥美拉唑联合胃复安；奥美拉唑联合吗丁啉；雷贝拉唑钠；奥美拉唑联合硫糖铝；奥美拉唑联合奥曲肽；奥曲肽；奥美拉唑联合奥曲肽；西咪替丁；奥美拉唑联合西咪替丁；奥美拉唑联合西沙比利；泮托拉唑；奥美拉唑联合泮托拉唑；奥美拉唑联合西沙比利治疗",0.5401000380516052
大便1天多次怎么回事，早上起床，大便3次，间隔时间10分钟，有时稀有时硬。白天没有，晚上也正常。 , 您好，可能是慢性肠炎的症状。可以服用黄连素，元胡止痛片，胃肠灵治疗，或者肌肉注射阿托品，必要时输液输血或吸氧。宜少量多餐，补充多种维生素。勿食生、冷、油腻及多纤维素的食物。适当进行体育锻炼以增强体质。，除此之外，患者在治疗消化内科疾病期间，除了要及时治疗外，患者的饮食状况和心理状态也是尤为重要，患者一定要避免精神上过度的紧张和忧虑，以免对消化内科疾病的恢复造成了不必要的影响。,"
你好，这种情况考虑为肠炎，可以做大便常规检查帮助诊断，然后根据结果应用抗生素进行对症治疗的，不吃辛辣刺激性的食物很重要。平时注意保暖，避免着凉。多喝开水有利于症状的好转。",0.9454256296157837
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Noted your history of more frequent urination with some yellow/green discharge in it. Intense pain in lower left abdomen, getting better with pressure. Now the pain is all over abdomen. I would advise you the following in such a situation. First send urine for tests of routine, microscopy, culture and sensitivity before antibiotic is started to get a proper reports which help in further treatment. Further, tests of blood, stool ultrasonography of the abdomen and so on. Clinical evaluation and examination by a General Surgeon to have a proper diagnosis and further proper treatment. I hope this answer helps you to get an early and proper diagnosis and treatment.","
Hello, Welcome to Chat Doctor .com I am Chat Doctor. Pravin. I have read your query carefully and understand your concerns. As per your history of pain in leg, it may be due to any one of following causes 1) Muscular injury 2) Venous thromboembolism 3) Peripheral vascular disease 4) Neuropathy (nerve problem) You need to do blood test for Hb, TSH, LFT, Lipid profile, D-Dimer, ESR, Blood sugar, Renal function test, VDRL/TPPA, HIV-1/2, Hep",0.7514472007751465
